folio,concepto,monto,referencia_bancaria,fecha_deposito
PRE-00825,evento,650.00,REF900016,09/10/2026
PRE-00829,evento,650.00,REF900017,09/10/2026
PRE-00831,evento,650.00,REF900018,09/10/2026
PRE-00833,evento,650.00,REF900019,09/10/2026
PRE-00835,evento,600.00,REF900020,09/10/2026
PRE-00838,evento,700.00,REF900021,09/10/2026
PRE-00815,taller,250.00,REF900022,09/10/2026
PRE-99999,evento,650.00,REF900023,09/10/2026
PRE-00839,evento,650.00,REF482910,09/10/2026
PRE-00840,evento,seiscientos,REF900024,09/10/2026
PRE-00842,inscripcion,650.00,REF900025,09/10/2026
