folio,concepto,monto,referencia_bancaria,fecha_deposito
PRE-00803,evento,650.00,REF900001,08/10/2026
PRE-00805,evento,650.00,REF900002,08/10/2026
PRE-00809,evento,650.00,REF900003,08/10/2026
PRE-00811,evento,650.00,REF900004,08/10/2026
PRE-00813,evento,650.00,REF900005,08/10/2026
PRE-00815,evento,650.00,REF900006,08/10/2026
PRE-00818,evento,650.00,REF900007,08/10/2026
PRE-00819,evento,650.00,REF900008,08/10/2026
PRE-00820,evento,650.00,REF900009,08/10/2026
PRE-00823,evento,650.00,REF900010,08/10/2026
PRE-00802,taller,250.00,REF900011,08/10/2026
PRE-00805,taller,350.00,REF900012,08/10/2026
PRE-00807,taller,250.00,REF900013,08/10/2026
PRE-00810,taller,300.00,REF900014,08/10/2026
PRE-00812,taller,300.00,REF900015,08/10/2026
